,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
328,4Ee9bVWmt5UiwSAwf8y1We,Tokyo Drift - 8d Bassboosted Edition,"8D BASSBOOSTED COLLECTION, Vol. 1",PedroDJDaddy,2021-07-12,226272,46,0.00234,0.603,0.857,0.447,0.0682,-10.917,0.0394,0.0442,127.3,4
329,39BOpF8KvdMqUZlJyfnV34,TOMA TOMA TOMA,TOMA TOMA TOMA,$werve,2023-05-19,106285,70,0.422,0.863,0.949,0.054,0.0372,0.69,0.291,0.162,129.987,4
330,2uMOkz6fG4vvsD5Pf4GOwO,LOOK AT ME!,LOOK AT ME!,TOKYOSLEEP,2023-07-14,88888,58,0.0588,0.817,0.938,0.00941,0.0473,-0.782,0.389,0.293,134.994,4
331,3rUGC1vUpkDG9CZFHMur1t,greedy,greedy,Tate McRae,2023-09-15,131872,99,0.256,0.75,0.733,0.0,0.114,-3.18,0.844,0.0319,111.018,1
332,0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé,2024-02-11,235636,93,0.588,0.725,0.709,0.0,0.135,-6.514,0.353,0.072,110.024,4
333,17phhZDn6oGtzMe56NuWvj,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,210688,94,0.199,0.561,0.604,1.9e-05,0.104,-4.409,0.242,0.0337,159.92,3
334,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,231750,92,0.269,0.868,0.538,3.34e-06,0.0901,-8.603,0.732,0.174,99.968,4
335,4xhsWYTOGcal8zt0J161CU,Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,138411,98,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,0.606,0.0568,104.983,4
336,0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,Miley Cyrus,2023-01-13,200454,31,0.0632,0.707,0.681,5.15e-06,0.0322,-4.325,0.646,0.0668,117.999,4
337,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,2023-06-23,244684,97,0.0545,0.522,0.641,0.0,0.162,-6.287,0.202,0.0318,87.51,4
338,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),Seven (feat. Latto),Jung Kook,2023-07-14,184400,88,0.311,0.802,0.832,0.0,0.0815,-4.107,0.89,0.0434,124.997,4
339,3U5JVgI2x4rDyHGObzJfNf,Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,94,0.00584,0.706,0.8,0.0,0.0822,-6.333,0.629,0.0399,100.011,4
340,5mjYQaktjmjcMKcUIcqz4s,Strangers,Strangers,Kenya Grace,2023-09-01,172964,95,0.701,0.628,0.523,0.00274,0.219,-8.307,0.416,0.0946,169.982,4
341,0mflMxspEfB0VbI1kyLiAv,Stick Season,Stick Season,Noah Kahan,2022-10-14,182346,98,0.782,0.662,0.488,0.0,0.102,-6.894,0.817,0.0682,117.913,4
342,59NraMJsLaMCVtwXTSia8i,Prada,Prada,cassö,2023-08-11,132359,93,0.001,0.638,0.717,1.79e-06,0.113,-5.804,0.422,0.0375,141.904,4
343,52eIcoLUM25zbQupAZYoFh,redrum,american dream,21 Savage,2024-01-12,270697,97,0.00529,0.624,0.74,0.000224,0.5,-8.445,0.246,0.0481,172.089,4
344,0sPs2Nm4rPaM79v3IiG2iY,Dance With Me,Dance With Me,Besomorph,2023-10-20,142080,57,0.355,0.657,0.669,0.0,0.161,-6.18,0.278,0.0469,124.98,4
345,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,137773,98,0.868,0.504,0.308,0.135,0.158,-14.958,0.121,0.0321,113.95,4
346,1Fav4xZn60uGM3XmiHJmvT,One Of Your Girls,Something To Give Each Other,Troye Sivan,2023-10-13,181481,75,0.0926,0.637,0.639,0.00503,0.223,-7.832,0.81,0.0542,92.987,4
347,1hFmDg5nxATVqQL1Viaed2,Lovin On Me,Lovin On Me,midnight Berlin,2024-02-09,137054,49,0.00423,0.725,0.879,0.00182,0.233,-4.847,0.426,0.152,145.985,4
348,1bjeWoagtHmUKputLVyDxQ,Saturn,Saturn,SZA,2024-02-22,186191,87,0.62,0.411,0.619,0.0,0.11,-6.834,0.337,0.0368,177.937,4
349,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,221520,91,0.417,0.715,0.62,0.0,0.0822,-6.005,0.172,0.0484,97.95,4
350,51TYqTZ1eTZsHVcrt0mmqe,Cruel Summer,love 4.0,Various Artists,2024-02-09,238781,44,0.055,0.429,0.629,0.0,0.0701,-3.813,0.182,0.0438,160.03,3
351,4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),CONTIGO (with Tiësto),KAROL G,2024-02-15,192786,90,0.178,0.846,0.545,6.23e-06,0.0989,-7.826,0.268,0.0736,122.029,4
352,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,GOLDEN,Jung Kook,2023-11-03,206019,95,0.0447,0.711,0.809,0.0,0.339,-4.389,0.816,0.0955,106.017,4
353,4OMJGnvZfDvsePyCwRGO7X,Houdini,Houdini,Dua Lipa,2023-11-09,185917,95,0.0036,0.744,0.789,0.00144,0.0947,-4.876,0.866,0.059,116.985,4
354,2EgFJVXw76TqnoSjwk7htO,Prada,Prada,midnight Berlin,2024-02-16,127272,46,0.0212,0.685,0.911,0.000452,0.119,-6.577,0.0638,0.095,131.977,4
355,3qhlB30KknSejmIvZZLjOD,End of Beginning,DECIDE,Djo,2022-09-16,159245,91,0.0351,0.689,0.454,0.00259,0.0707,-7.643,0.912,0.0584,159.982,4
356,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,Baby Don't Hurt Me,David Guetta,2023-04-06,140017,88,0.00126,0.602,0.91,0.000174,0.12,-3.404,0.228,0.0308,127.944,4
357,4noDzXvJRt48NKfxmkBBMt,Not Your Baby,Not Your Baby,Cadmium,2024-02-23,184000,41,0.288,0.469,0.758,0.0,0.138,-4.896,0.33,0.0645,150.234,4
358,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,92,0.0207,0.671,0.845,0.0,0.329,-4.93,0.775,0.048,110.056,4
359,3k79jB4aGmMDUQzEwa46Rz,vampire,vampire,Olivia Rodrigo,2023-06-30,219724,37,0.169,0.511,0.532,0.0,0.311,-5.745,0.322,0.056,137.827,4
360,1VL6vvlSUBiL55yGLzzWBH,11:45,11:45,BRAN,2024-01-19,162429,52,0.928,0.483,0.359,1.06e-05,0.147,-10.357,0.395,0.0852,170.122,4
361,6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Never Lose Me,Flo Milli,2023-11-30,125901,93,0.0504,0.781,0.567,0.0,0.0981,-7.857,0.0743,0.0969,121.964,4
